No.,Words / Phrases,Phonetic Symbol,Part of Speech,English Definition,Chinese Translation
1,ring,| rɪŋ |,noun,"an enclosed space, surrounded by seating for spectators, in which a sport, performance, or show takes place",
,,,,a roped enclosure for boxing or wrestling,拳击场；摔跤场
,,,,"(the ring) the profession, sport, or institution of boxing",拳击运动
2,referee,| rɛfəˈriː |,noun,an official who watches a game or match closely to ensure that the rules are adhered to and (in some sports) to arbitrate on matters arising from the play,裁判
,,,,"British a person willing to testify in writing about the character or ability of someone, especially an applicant for a job",推荐人
,,,verb [with object],act as the referee of,(为……) 担任裁判
3,checkmate,| ˈtʃɛkmeɪt |,noun [mass noun],Chess a position in which a player's king is directly attacked by an opponent's piece or pawn and has no possible move to escape the check. The attacking player thus wins the game,将死
,,,verb [with object],Chess put into checkmate,
4,glory,| ˈɡlɔːri |,noun [mass noun],high renown or honour won by notable achievements,光荣
5,muscular,| ˈmʌskjʊlə |,adjective,relating to or affecting the muscles,肌肉的
,,,,having well-developed muscles,肌肉发达的
,,,,vigorously robust,强有力的
6,punch,| pʌn(t)ʃ |,verb [with object],strike with the fist,拳打
7,alternate,"| ˈɔːltəneɪt, ˈɒltəneɪt |",verb [no object],occur in turn repeatedly,轮流；交替
8,torture,| ˈtɔːtʃə |,noun [mass noun],the action or practice of inflicting severe pain or suffering on someone as a punishment or in order to force them to do or say something,酷刑
,,,,great physical or mental suffering or anxiety,折磨
9,erupt,| ɪˈrʌpt |,verb,"[no object] (of a volcano) become active and eject lava, ash, and gases",喷发
,,,,break out suddenly and dramatically,爆发；突然发出
10,controversial,| kɒntrəˈvəːʃ(ə)l |,adjective,giving rise or likely to give rise to controversy or public disagreement,有争议的
11,piece,| piːs |,noun,a figure or token used to make moves in a board game,棋子
