No.,Words / Phrases,Phonetic Symbol,Part of Speech,English Definition,Chinese Translation
Welcome Section A,,,,,
1,scan,| skan |,verb [with object],look at all parts of (something) carefully in order to detect some feature,仔细观察
,,,,look quickly but not very thoroughly through (a document or other text) in order to identify relevant information,浏览
,,,,"cause (a surface, object, or part of the body) to be traversed by a detector or an electromagnetic beam",扫描检查
2,fascination,| ˌfasɪˈneɪʃ(ə)n |,noun [mass noun],the power to fascinate someone; the quality of being fascinating,入迷
3,fascinated,| ˈfasɪneɪtɪd |,adjective,strongly attracted and interested,入迷的
4,at a speed of,,,,以…的速度
5,motor skill,,,,运动能力
6,motor,| ˈməʊtə |,adjective [attributive],Physiology relating to muscular movement or the nerves activating it,运动的
7,do up a button,,,,系纽扣
8,tie shoe laces,,,,系鞋带
9,intelligence test,,,,智力测试
10,intelligence,| ɪnˈtɛlɪdʒ(ə)ns |,noun [mass noun],the ability to acquire and apply knowledge and skills,智力
,,,,the collection of information of military or political value,情报
,,,,people employed in the collection of military or political information,情报机构；情报人员
11,convention,| kənˈvɛnʃ(ə)n |,noun,a way in which something is usually done,惯例
,,,,[mass noun] behaviour that is considered acceptable or polite to most members of a society,习俗
,,,,"an agreement between states covering particular matters, especially one less formal than a treaty",公约
,,,,"a large meeting or conference, especially of members of a political party or a particular profession or group",大会
12,script,| skrɪpt |,noun,"the written text of a play, film, or broadcast",剧本；广播稿
13,make several appearance on TV,,,,出现在几次电视节目中
14,loosely,| ˈluːsli |,adverb,in a way that is not firmly or tightly fixed or held together,松散的
,,,,in a way that does not fit tightly or closely,
,,,,"in a way that is not close, compact, or solid in structure or formation",
,,,,in a way that is not rigidly organized,
,,,,in a physically relaxed manner,
,,,,in a way that is not strict or exact,不精确的
15,extensively,"| ɪkˈstɛnsɪvli, ɛkˈstɛnsɪvli |",adverb,in a way that covers or affects a large area,到处；大量地；广泛地；全面地；大面积地
,,,,to a large or detailed degree,
16,statuette,"| statʃʊˈɛt, statjʊˈɛt |",noun,"a small statue or figurine, especially one that is smaller than life-size",小雕塑
17,take a turn at doing,,,,轮流；依次
18,mental calculation,,,,心酸
19,imaginary,| ɪˈmadʒɪn(ə)ri |,adjective,existing only in the imagination,虚构的；虚幻的；假想的
20,invasion,| ɪnˈveɪʒ(ə)n |,noun,an instance of invading a country or region with an armed force,侵略
21,lose one’s leg to …,,,,被…弄断腿
22,trophy,| ˈtrəʊfi |,noun,a cup or other decorative object awarded as a prize for a victory or success,奖杯；奖牌
,,,,"a souvenir of an achievement, especially a part of an animal taken when hunting",战利品；狩猎纪念品
23,dyslexic (also dyslectic | dɪsˈlɛktɪk |),| dɪsˈlɛksɪk |,adjective,relating to or affected by dyslexia,诵读困难的
Welcome Section B,,,,,
24,fall out,,,"(of the hair, teeth, etc.) become detached and drop out",掉落
,,,,have an argument,争吵
25,be stuck at home,,,,留在家
26,enrol (US enroll),"| ɪnˈrəʊl, ɛnˈrəʊl |",verb,[no object] officially register as a member of an institution or a student on a course,参加
27,motivate,| ˈməʊtɪveɪt |,verb [with object],provide (someone) with a reason for doing something,促动
,,,,cause (someone) to have interest in or enthusiasm for something,调动…的积极性
28,take one’s advice,,,,听从某人的建议
29,talk over,,,discuss something thoroughly,讨论
30,work out,,,plan or devise something in detail,制订
,,,,find the answer to something,解决
,,,,solve a sum or determine an amount by calculation,(被)算出
,,,,have a good or specified result,有进展
,,,,engage in vigorous physical exercise or training,锻炼
,,,,literary accomplish something with difficulty,解决
31,stand by,,,"support or remain loyal to someone, typically in a time of need",支持
32,nasty,| ˈnɑːsti |,adjective,very bad or unpleasant,令人难受的
33,stick up for,,,support or defend a person or cause,支持；捍卫
Welcome Section C,,,,,
34,presenter,| prɪˈzɛntə |,noun,British a person who introduces and appears in a television or radio programme,节目主持人
35,be on the increase,,,,在增加
36,deprived,| dɪˈprʌɪvd |,adjective,suffering a severe and damaging lack of basic material and cultural benefits,贫困的
37,inner city,,noun [usually as modifier],"the area near the centre of a city, especially when associated with social and economic problems",市中心区
38,turn to,,,start doing or becoming involved with something,开始
,,,,"consult someone or something for help, advice, or information",求助于
39,figure,| ˈfɪɡə |,noun,"a person of a particular kind, especially one who is important or distinctive in some way",人物
40,identify,| ʌɪˈdɛntɪfʌɪ |,verb [with object],establish or indicate who or what (someone or something) is,辨认
41,assign,| əˈsʌɪn |,verb [with object],allocate (a job or duty),分配
42,mentor,| ˈmɛntɔː |,noun,an experienced and trusted adviser,导师
43,meet up (with),,,"come into the presence or company of someone, especially by arrangement",见面
44,go on days out,,,,出去过几天
45,role model,,,a person looked to by others as an example to be imitated,行为榜样
46,peer pressure,,,influence from members of one's peer group,同侪压力
47,option,| ˈɒpʃ(ə)n |,noun,a thing that is or may be chosen,选择
,,,,[in singular] the freedom or right to choose something,选择权
,,,,a right to buy or sell a particular thing at a specified price within a set time,买卖权
48,scheme,| skiːm |,noun,mainly British a large-scale systematic plan or arrangement for attaining a particular object or putting a particular idea into effect,计划
49,come to an end,,,,完结；结束
50,offence,| əˈfɛns |,noun,a breach of a law or rule; an illegal act,犯罪
,,,,[mass noun] annoyance or resentment brought about by a perceived insult to or disregard for oneself,冒犯
Welcome Section D,,,,,
51,serial,| ˈsɪərɪəl |,adjective [attributive],"consisting of, forming part of, or taking place in a series",一连串的
,,,,a story or play appearing in regular instalments on television or radio or in a magazine,连续剧；连载小说
52,mess with,,,informal meddle or interfere with someone or something,瞎弄；摆弄
53,spark,| spɑːk |,verb,[no object] emit sparks of fire or electricity,飞火星；冒火花
54,come on,,,(of a state or condition) start to arrive or happen,开始运转
55,stay out,,,,呆在外面
,,,,,继续罢工；不插手
56,vegetarian,| vɛdʒɪˈtɛːrɪən |,noun,"a person who does not eat meat or fish, and sometimes other animal products, especially for moral, religious, or health reasons",素食者
57,celebrity,| sɪˈlɛbrɪti |,noun,"a famous person, especially in entertainment or sport",名人
,,,,[mass noun] the state of being well known,名声
58,corporation,| kɔːpəˈreɪʃ(ə)n |,noun,a large company or group of companies authorized to act as a single entity and recognized as such in law,大公司
59,bear,| bɛː |,verb (past bore | bɔː | ; past participle borne | bɔːn | ) [with object ],carry the weight of; support,承载
,,,,endure (an ordeal or difficulty),忍受
,,,,formal or literary (of a person) carry (someone or something),携带
60,grudge,| ɡrʌdʒ |,noun,a persistent feeling of ill will or resentment resulting from a past insult or injury,积怨
61,bear grudge,,,,怨恨
